"Ncells" "SeqDepthTot" "SeqDepthPerLoc" "Replicate" "Seed" "RMSE" "RMSEcomp10" "Scenario" "Mixnoise"
9 5270511 20271.1961538462 57 6234561 0.00173595548248601 -4.89521914246889 4 1
9 4972907 19126.5653846154 58 6345672 0.00219146546182118 0.247378788929464 4 1
9 5613059 21588.6884615385 59 6456783 0.00142702573032117 -6.7941329791269 4 1
9 5326791 20487.6576923077 60 6567894 0.00194613451541298 5.9232182398307 4 1
9 5258775 20226.0576923077 45 4901229 0.00175188976252883 0.519749441368056 5 1
9 5212022 20046.2384615385 46 5012340 0.00243891451789394 -2.13327394361196 5 1
9 5430304 20885.7846153846 47 5123451 0.00212501028679447 2.18121205916371 5 1
9 4842237 18623.9884615385 48 5234562 0.00183776126312773 -8.04875939409495 5 1
9 5202113 20008.1269230769 49 5345673 0.00227211236783516 -2.05182973703881 5 1
9 5337070 20527.1923076923 50 5456784 0.00245365788589596 -8.49431495096256 5 1
9 5468368 21032.1846153846 51 5567895 0.00246567686448429 -9.81024707305271 5 1
9 5076531 19525.1192307692 52 5679006 0.00178172500564699 2.51940131132349 5 1
9 5448233 20954.7423076923 53 5790117 0.00229830051215327 0.1083378164903 5 1
9 5214407 20055.4115384615 54 5901228 0.00235673942484705 -2.64135185493781 5 1
9 5232954 20126.7461538462 55 6012339 0.0022863779801763 -7.04061715010849 5 1
9 5109926 19653.5615384615 56 6123450 0.0023591860560893 -6.57448494495483 5 1
9 5270511 20271.1961538462 57 6234561 0.00169327472834563 -2.18646669393201 5 1
9 4972907 19126.5653846154 58 6345672 0.00198501686383101 3.32995172022574 5 1
9 5613059 21588.6884615385 59 6456783 0.00204779427713769 -6.51208704877979 5 1
9 5326791 20487.6576923077 60 6567894 0.00236501310855864 -2.05909775078965 5 1
12 6888295 26493.4423076923 85 9345669 0.00192180824594023 11.0530291467801 1 3
12 6469216 24881.6 86 9456780 0.0016807928924525 9.5631315807811 1 3
12 6768630 26033.1923076923 87 9567891 0.00191721019996431 5.45268210546141 1 3
12 7422932 28549.7384615385 88 9679002 0.00160772819673441 -2.31576744404072 1 3
12 7521907 28930.4115384615 89 9790113 0.00173280150911115 9.6879222486794 1 3
12 7207878 27722.6076923077 90 9901224 0.00178004074155905 3.24354719654909 1 3
12 6961175 26773.75 91 10012335 0.00169258519612364 -3.33987156882691 1 3
12 6963887 26784.1807692308 92 10123446 0.00177634996019754 5.43028820554322 1 3
12 7416070 28523.3461538462 93 10234557 0.00150710958229508 13.3337776104257 1 3
12 6420043 24692.4730769231 94 10345668 0.00137298454749208 7.17121034717251 1 3
12 6897025 26527.0192307692 95 10456779 0.00180379149251951 7.90358228890342 1 3
12 6322063 24315.6269230769 96 10567890 0.00147395543098546 1.77068516314249 1 3
12 7680110 29538.8846153846 97 10679001 0.00144037639954258 11.8855607109269 1 3
12 7153523 27513.55 98 10790112 0.00177911580343022 6.9977317604774 1 3
12 6503904 25015.0153846154 99 10901223 0.00182960737135522 5.07280630303698 1 3
12 7101466 27313.3307692308 100 11012334 0.00211240120063 1.57452341991819 1 3
12 6888295 26493.4423076923 85 9345669 0.00334674352139053 3.15246381736209 2 3
12 6469216 24881.6 86 9456780 0.00629606239363523 1.05780708072499 2 3
