"sample"	"n_cell_types"	"cell_count"	"lib_factor"	"Phi_factor"	"SC_rep"	"ST_rep"	"alpha0"	"alpha1"	"CARD_rmse"	"Ave_rmse"	"Median_rmse"	"j"	"WAIC"	"PercentMedianDiff"	"PercentMeanDiff"
2	12	10	0.05	50	7	2	0.1	0.1	0.000825082725528625	0.000797754141544272	0.000800615558550168	147	5746091.28047157	2.96541985687322	3.31222350666031
2	12	10	0.05	50	7	2	-0.1	0.3	0.000825082725528625	0.000724005679186745	0.00072529672511537	148	49641.3337227102	12.0940600652283	12.2505347905715
2	12	10	0.05	50	7	2	0	0.3	0.000825082725528625	0.000787699643706384	0.000792505116220857	149	788496.124761752	3.94840520832563	4.53082832370409
2	12	10	0.05	50	7	2	0.1	0.3	0.000825082725528625	0.000796716024005139	0.000799766084794014	150	3275496.88819731	3.06837604900649	3.43804331926975
2	12	10	0.05	50	7	2	-0.1	0.5	0.000825082725528625	0.00072334627223325	0.000722894843853321	151	10446.3900565379	12.385167997528	12.3304548922889
2	12	10	0.05	50	7	2	0	0.5	0.000825082725528625	0.00078065562323613	0.000785502138663093	152	426194.520330002	4.79716586481347	5.38456337987574
2	12	10	0.05	50	7	2	0.1	0.5	0.000825082725528625	0.000795972433057698	0.000799353814224319	153	1993756.21576948	3.11834322889518	3.52816651836643
2	12	10	0.05	50	8	2	-0.1	0.1	0.000725745032119644	0.000662784765267224	0.000664603248446471	154	226138.043069483	8.42469200162483	8.67525977663747
2	12	10	0.05	50	8	2	0	0.1	0.000725745032119644	0.000717120165467107	0.000721362000157314	155	1738385.35165742	0.603935510178943	1.1884155276058
2	12	10	0.05	50	8	2	0.1	0.1	0.000725745032119644	0.00070825447955718	0.000710592070105811	156	5992367.65640462	2.0879181176862	2.41001340531131
2	12	10	0.05	50	8	2	-0.1	0.3	0.000725745032119644	0.000656958139105226	0.000658268658213604	157	69027.643038168	9.29753162883751	9.47810732007587
2	12	10	0.05	50	8	2	0	0.3	0.000725745032119644	0.00071163531353367	0.000716277110908619	158	868290.864976094	1.30457954129884	1.94417019221825
2	12	10	0.05	50	8	2	0.1	0.3	0.000725745032119644	0.00070776980605243	0.000710140643273796	159	3416932.83940884	2.15011996710104	2.47679629507283
