"sample"	"cell_count"	"lib_factor"	"Phi_factor"	"SC_rep"	"ST_rep"	"alpha0"	"alpha1"	"CARD_rmse"	"Ave_rmse"	"Median_rmse"	"j"	"WAIC"	"PercentMedianDiff"	"PercentMeanDiff"	"sparsity_level"	"best_WAIC"	"sparsity_level_f"
2	10	0.05	50	1	6	-0.1	0.5	0.000656602721546136	0.000749493294378571	0.000741634801724202	457	3023.70020804964	-12.9503088226372	-14.1471501387781	1	TRUE	"1"
2	10	0.05	50	2	6	-0.1	0.5	0.000633513489502296	0.000550491169748178	0.000551624651196498	466	11642.4688377578	12.926139642288	13.1050595022597	1	TRUE	"1"
2	10	0.05	50	3	6	-0.1	0.5	0.000638184078832069	0.000550623513658715	0.000550559698461059	475	6250.68016573469	13.7302673754209	13.7202678784462	1	TRUE	"1"
2	10	0.05	50	4	6	-0.1	0.5	0.00073937168846462	0.000675751657502745	0.000675598504498683	484	19254.6246603234	8.62532133173356	8.60460739225605	1	TRUE	"1"
2	10	0.05	50	5	6	-0.1	0.5	0.000634253166299433	0.000570322986873335	0.00056992258174119	493	17592.9445756655	10.1427297452185	10.0795995704839	1	TRUE	"1"
2	10	0.05	50	6	6	-0.1	0.5	0.000638852403535425	0.000572821451240059	0.000574157289265973	502	10695.5313734751	10.12677011332	10.3358697454919	1	TRUE	"1"
2	10	0.05	50	7	6	-0.1	0.5	0.000754762891514027	0.000709047601675312	0.000708386444002947	511	19702.3179293305	6.14450551722942	6.05690745434129	1	TRUE	"1"
2	10	0.05	50	8	6	-0.1	0.5	0.000604856417972784	0.000516924397706504	0.000518473033192639	520	9956.1520689746	14.2816348166833	14.5376683876464	1	TRUE	"1"
2	10	0.05	50	9	6	-0.1	0.5	0.000722200770590072	0.000721378344248985	0.000719122586304244	529	9269.51703990158	0.426222791663988	0.113877798886186	1	TRUE	"1"
2	10	0.05	50	10	6	-0.1	0.5	0.000657153591260631	0.000597316772365669	0.000598085045074666	538	32206.2367024638	8.98854498727653	9.10545414203334	1	TRUE	"1"
2	10	0.05	50	1	7	-0.1	0.5	0.000656516731725498	0.000735476655593433	0.000726861191343245	547	4758.10784423995	-10.7148007382635	-12.0271000040483	1	TRUE	"1"
2	10	0.05	50	2	7	-0.1	0.5	0.000800879181914468	0.00073894322029014	0.000738611738410742	556	15661.5956461963	7.77488601400255	7.73349626547573	1	TRUE	"1"
2	10	0.05	50	3	7	-0.1	0.5	0.000609543616461311	0.000503347017891599	0.000503122549522147	565	5792.69812882705	17.4591389467727	17.4223133015868	1	TRUE	"1"
2	10	0.05	50	4	7	-0.1	0.5	0.00071289054936771	0.000698278099147452	0.000698012199779193	574	18406.9396903193	2.08704542397331	2.04974665931795	1	TRUE	"1"
2	10	0.05	50	5	7	-0.1	0.5	0.00083832768381119	0.000961829020930431	0.000954851535935495	583	9050.26795692519	-13.8995591311701	-14.7318691132543	1	TRUE	"1"
2	10	0.05	50	6	7	-0.1	0.5	0.000767357224695193	0.00073869154337045	0.000737654450250374	592	23391.7219821546	3.87078840061975	3.73563711948233	1	TRUE	"1"
2	10	0.05	50	7	7	-0.1	0.5	0.000806048904760021	0.000779428948931852	0.00077748988231082	601	27661.9736401355	3.54308805341078	3.30252366462731	1	TRUE	"1"
2	10	0.05	50	8	7	-0.1	0.5	0.000611880271245294	0.000548301146181601	0.000544463551375627	610	5361.27734150144	11.017959401185	10.3907787277235	1	TRUE	"1"
2	10	0.05	50	9	7	-0.1	0.5	0.000664944216111078	0.00065365351782006	0.000649333627363821	619	8533.22223872307	2.34765388870595	1.6979918040421	1	TRUE	"1"
2	10	0.05	50	10	7	-0.1	0.5	0.000641402994774225	0.000574617988303168	0.000574495000021031	628	9930.60088775857	10.4315064473226	10.4123315630239	1	TRUE	"1"
