"Method"	"SC_rep"	"ST_rep"	"RMSE"	"CARD_RMSE"	"PercentDiff"
"SPOTlight"	8	1	0.000850619601942273	0.000597996868538871	-42.2448254655002
"STdeconvolve"	8	1	0.001231673757354	0.000597996868538871	-105.966589819013
"SpatialDecon"	8	1	0.000762951913710469	0.000597996868538871	-27.5846001626472
"SPOTlight"	8	1	0.000850619601942273	0.000597996868538871	-42.2448254655002
"STdeconvolve"	8	1	0.001231673757354	0.000597996868538871	-105.966589819013
"SpatialDecon"	8	1	0.000762951913710469	0.000597996868538871	-27.5846001626472
"SPOTlight"	8	1	0.000850619601942273	0.000597996868538871	-42.2448254655002
"STdeconvolve"	8	1	0.001231673757354	0.000597996868538871	-105.966589819013
"SpatialDecon"	8	1	0.000762951913710469	0.000597996868538871	-27.5846001626472
"SPOTlight"	8	1	0.000850619601942273	0.000597996868538871	-42.2448254655002
"STdeconvolve"	8	1	0.001231673757354	0.000597996868538871	-105.966589819013
"SpatialDecon"	8	1	0.000762951913710469	0.000597996868538871	-27.5846001626472
"SPOTlight"	8	1	0.000850619601942273	0.000597996868538871	-42.2448254655002
"STdeconvolve"	8	1	0.001231673757354	0.000597996868538871	-105.966589819013
"SpatialDecon"	8	1	0.000762951913710469	0.000597996868538871	-27.5846001626472
"SPOTlight"	8	1	0.000850619601942273	0.000597996868538871	-42.2448254655002
"STdeconvolve"	8	1	0.001231673757354	0.000597996868538871	-105.966589819013
"SpatialDecon"	9	1	0.000831139670703872	0.00059468510539709	-39.7613061367821
"SPOTlight"	9	1	0.000648341942533006	0.00059468510539709	-9.02273096281567
"STdeconvolve"	9	1	0.00104127525539357	0.00059468510539709	-75.0969119528023
"SpatialDecon"	9	1	0.000831139670703872	0.00059468510539709	-39.7613061367821
"SPOTlight"	9	1	0.000648341942533006	0.00059468510539709	-9.02273096281567
"STdeconvolve"	9	1	0.00104127525539357	0.00059468510539709	-75.0969119528023
"SpatialDecon"	9	1	0.000831139670703872	0.00059468510539709	-39.7613061367821
"SPOTlight"	9	1	0.000648341942533006	0.00059468510539709	-9.02273096281567
"STdeconvolve"	9	1	0.00104127525539357	0.00059468510539709	-75.0969119528023
"SpatialDecon"	9	1	0.000831139670703872	0.00059468510539709	-39.7613061367821
"SPOTlight"	9	1	0.000648341942533006	0.00059468510539709	-9.02273096281567
"STdeconvolve"	9	1	0.00104127525539357	0.00059468510539709	-75.0969119528023
"SpatialDecon"	9	1	0.000831139670703872	0.00059468510539709	-39.7613061367821
"SPOTlight"	9	1	0.000648341942533006	0.00059468510539709	-9.02273096281567
"STdeconvolve"	9	1	0.00104127525539357	0.00059468510539709	-75.0969119528023
"SpatialDecon"	9	1	0.000831139670703872	0.00059468510539709	-39.7613061367821
"SPOTlight"	9	1	0.000648341942533006	0.00059468510539709	-9.02273096281567
"STdeconvolve"	9	1	0.00104127525539357	0.00059468510539709	-75.0969119528023
"SpatialDecon"	9	1	0.000831139670703872	0.00059468510539709	-39.7613061367821
"SPOTlight"	9	1	0.000648341942533006	0.00059468510539709	-9.02273096281567
"STdeconvolve"	9	1	0.00104127525539357	0.00059468510539709	-75.0969119528023
"SpatialDecon"	9	1	0.000831139670703872	0.00059468510539709	-39.7613061367821
"SPOTlight"	9	1	0.000648341942533006	0.00059468510539709	-9.02273096281567
"STdeconvolve"	9	1	0.00104127525539357	0.00059468510539709	-75.0969119528023
"SpatialDecon"	9	1	0.000831139670703872	0.00059468510539709	-39.7613061367821
"SPOTlight"	9	1	0.000648341942533006	0.00059468510539709	-9.02273096281567
"STdeconvolve"	9	1	0.00104127525539357	0.00059468510539709	-75.0969119528023
"SpatialDecon"	10	1	0.00104994464229253	0.000764797439204615	-37.2840164559745
"SPOTlight"	10	1	0.000975133599171144	0.000764797439204615	-27.5022050525271
"STdeconvolve"	10	1	0.00118808793677733	0.000764797439204615	-55.3467461937292
"SpatialDecon"	10	1	0.00104994464229253	0.000764797439204615	-37.2840164559745
"SPOTlight"	10	1	0.000975133599171144	0.000764797439204615	-27.5022050525271
"STdeconvolve"	10	1	0.00118808793677733	0.000764797439204615	-55.3467461937292
"SpatialDecon"	10	1	0.00104994464229253	0.000764797439204615	-37.2840164559745
"SPOTlight"	10	1	0.000975133599171144	0.000764797439204615	-27.5022050525271
"STdeconvolve"	10	1	0.00118808793677733	0.000764797439204615	-55.3467461937292
"SpatialDecon"	10	1	0.00104994464229253	0.000764797439204615	-37.2840164559745
"SPOTlight"	10	1	0.000975133599171144	0.000764797439204615	-27.5022050525271
